symbol,trade_direction,trades,wins,losses,win_rate,avg_return,median_return,total_return,best_trade,worst_trade,avg_prior_relative,avg_opening_move,is_original_119,candidate_type,passes_filter,score
TMUS,LONG,1,1,0,1.0,0.0147893772893772,0.0147893772893772,0.0147893772893772,0.0147893772893772,0.0147893772893772,0.0226085411007026,-0.0083094946192615,False,NEW_CANDIDATE,False,0.0147893772893772
VRSK,LONG,1,1,0,1.0,0.0144551697642032,0.0144551697642032,0.0144551697642032,0.0144551697642032,0.0144551697642032,0.0276436359567961,-0.0375540200134039,False,NEW_CANDIDATE,False,0.0144551697642032
SWKS,SHORT,1,1,0,1.0,0.0140513178565194,0.0140513178565194,0.0140513178565194,0.0140513178565194,0.0140513178565194,-0.033839696028777,0.0230357142857142,False,NEW_CANDIDATE,False,0.0140513178565194
DG,SHORT,1,1,0,1.0,0.0140020195220465,0.0140020195220465,0.0140020195220465,0.0140020195220465,0.0140020195220465,-0.0371827606116866,0.0065045057253201,False,NEW_CANDIDATE,False,0.0140020195220465
MA,LONG,1,1,0,1.0,0.0137635160056686,0.0137635160056686,0.0137635160056686,0.0137635160056686,0.0137635160056686,0.0357420505712906,-0.0093272818185314,True,ORIGINAL,False,0.0137635160056686
AON,LONG,1,1,0,1.0,0.0136003809297065,0.0136003809297065,0.0136003809297065,0.0136003809297065,0.0136003809297065,0.0218213787174603,-0.0053282813332544,False,NEW_CANDIDATE,False,0.0136003809297065
BKNG,LONG,1,1,0,1.0,0.0134396872606814,0.0134396872606814,0.0134396872606814,0.0134396872606814,0.0134396872606814,0.0827819696338465,-0.0057724656927844,True,ORIGINAL,False,0.0134396872606814
HCA,LONG,1,1,0,1.0,0.0132682759801401,0.0132682759801401,0.0132682759801401,0.0132682759801401,0.0132682759801401,0.0332154401472741,-0.0076265267211598,False,NEW_CANDIDATE,False,0.0132682759801401
COF,LONG,1,1,0,1.0,0.0132260850788166,0.0132260850788166,0.0132260850788166,0.0132260850788166,0.0132260850788166,0.0235176290497585,-0.0166945351275312,False,NEW_CANDIDATE,False,0.0132260850788166
SOLV,SHORT,2,2,0,1.0,0.0062672015196490495,0.0062672015196490495,0.012534403039298099,0.0069831417084009,0.0055512613308972,-0.03488772710930725,0.0138839341039381,False,NEW_CANDIDATE,False,0.012534403039298099
BAX,SHORT,1,1,0,1.0,0.0124833997343957,0.0124833997343957,0.0124833997343957,0.0124833997343957,0.0124833997343957,-0.0372922771784732,0.0104669887278583,False,NEW_CANDIDATE,False,0.0124833997343957
ROK,SHORT,1,1,0,1.0,0.0123269783233219,0.0123269783233219,0.0123269783233219,0.0123269783233219,0.0123269783233219,-0.0348034556078391,0.0151382592327473,True,ORIGINAL,False,0.0123269783233219
TER,LONG,1,1,0,1.0,0.0122255489021954,0.0122255489021954,0.0122255489021954,0.0122255489021954,0.0122255489021954,0.0279630977193192,-0.0256393633917861,False,NEW_CANDIDATE,False,0.0122255489021954
ESS,LONG,1,1,0,1.0,0.0116574147501982,0.0116574147501982,0.0116574147501982,0.0116574147501982,0.0116574147501982,0.0350374603143188,-0.0103982734942122,False,NEW_CANDIDATE,False,0.0116574147501982
VZ,LONG,1,1,0,1.0,0.0114806017418844,0.0114806017418844,0.0114806017418844,0.0114806017418844,0.0114806017418844,0.0301230408977946,-0.0113502935420742,True,ORIGINAL,False,0.0114806017418844
SYY,SHORT,1,1,0,1.0,0.0114670969228995,0.0114670969228995,0.0114670969228995,0.0114670969228995,0.0114670969228995,-0.0434021391174234,0.0089534883720929,False,NEW_CANDIDATE,False,0.0114670969228995
JKHY,LONG,1,1,0,1.0,0.0111051083498407,0.0111051083498407,0.0111051083498407,0.0111051083498407,0.0111051083498407,0.0406022233189782,-0.0054625235067609,False,NEW_CANDIDATE,False,0.0111051083498407
PNC,LONG,1,1,0,1.0,0.0109884719156243,0.0109884719156243,0.0109884719156243,0.0109884719156243,0.0109884719156243,0.0304450370628379,-0.0171640711633961,False,NEW_CANDIDATE,False,0.0109884719156243
COP,SHORT,1,1,0,1.0,0.010878767355232,0.010878767355232,0.010878767355232,0.010878767355232,0.010878767355232,-0.0484527087513114,0.0092707309779127,True,ORIGINAL,False,0.010878767355232
PTC,LONG,2,2,0,1.0,0.0054169000349577005,0.0054169000349577005,0.010833800069915401,0.006076308565436,0.0047574915044794,0.047181589247474995,-0.00988603069603735,False,NEW_CANDIDATE,False,0.010833800069915401
PYPL,LONG,1,1,0,1.0,0.0106508875739643,0.0106508875739643,0.0106508875739643,0.0106508875739643,0.0106508875739643,0.0852381550154735,-0.0170262267343485,False,NEW_CANDIDATE,False,0.0106508875739643
DOV,LONG,1,1,0,1.0,0.0105986036396932,0.0105986036396932,0.0105986036396932,0.0105986036396932,0.0105986036396932,0.0205214504438868,-0.0089160125232541,False,NEW_CANDIDATE,False,0.0105986036396932
HST,LONG,1,1,0,1.0,0.0105180120957137,0.0105180120957137,0.0105180120957137,0.0105180120957137,0.0105180120957137,0.0337225220112846,-0.0293517100561511,False,NEW_CANDIDATE,False,0.0105180120957137
TTWO,LONG,1,1,0,1.0,0.0103206077691242,0.0103206077691242,0.0103206077691242,0.0103206077691242,0.0103206077691242,0.0261641369881566,-0.0112906273620559,False,NEW_CANDIDATE,False,0.0103206077691242
CPAY,LONG,1,1,0,1.0,0.0099579197584402,0.0099579197584402,0.0099579197584402,0.0099579197584402,0.0099579197584402,0.0284094711541391,-0.0190017016449233,False,NEW_CANDIDATE,False,0.0099579197584402
AXP,LONG,1,1,0,1.0,0.0099169393405487,0.0099169393405487,0.0099169393405487,0.0099169393405487,0.0099169393405487,0.0284519909912972,-0.0080065250682468,False,NEW_CANDIDATE,False,0.0099169393405487
CSGP,LONG,1,1,0,1.0,0.0095953274926992,0.0095953274926992,0.0095953274926992,0.0095953274926992,0.0095953274926992,0.0983570730547054,-0.0105263157894738,False,NEW_CANDIDATE,False,0.0095953274926992
